date,product_id,warehouse_id,historical_demand,demand_variability,current_inventory,reorder_point,lead_time_days,holding_cost,ordering_cost,shortage_cost,target_operational_cost,month,day_of_week,is_weekend,predicted_operational_cost,inventory_status
2022-01-01,1051,2,117,0.3207117134902781,240,125,8,3.328840470060018,89.1256402516375,23.859309913700915,888.0473530660419,1,5,1,896.2613425751103,🟡 High Cost Overstock
2022-01-02,1092,3,123,0.2096216829718191,78,107,6,4.628331167417368,80.44565624796194,12.973181841352178,1025.2486701673647,1,6,1,1029.222018936089,🔴 Reorder Required
2022-01-03,1014,1,107,0.1260771208738764,97,86,5,1.9241353923703624,39.3983705116494,9.595929103572,321.9987946072946,1,0,0,342.1061009613915,🟢 Healthy
2022-01-04,1071,1,122,0.1199689942653516,299,183,9,1.4771487102796346,61.85976601919839,11.532677205619864,503.52723039280914,1,1,0,494.3413933645084,🟢 Healthy
2022-01-05,1060,4,110,0.1462226795345355,275,150,12,0.9795329768347328,34.73508204186971,22.055504083304584,304.1066506714212,1,2,0,307.3014227659293,🟢 Healthy
2022-01-06,1020,1,130,0.128546805555752,321,173,2,1.0870806263887676,42.50227600584886,14.958771270242668,391.4551570766432,1,3,0,404.22958458057474,🟢 Healthy
2022-01-07,1082,4,112,0.4042232462079692,202,161,7,0.7800021292047923,61.28042337390329,12.08504607004478,218.84085347327127,1,4,0,220.69041204792114,🟢 Healthy
2022-01-08,1086,4,122,0.2942264809133716,377,167,6,0.8943907047338306,78.80110467686382,15.885200436189656,415.986400361518,1,5,1,398.46136802851703,🟢 Healthy
2022-01-09,1074,4,128,0.2371568365395918,334,85,7,2.4440206496411925,27.57235043149113,7.664594145536848,843.8752474116494,1,6,1,817.230735269663,🟡 High Cost Overstock
2022-01-10,1074,1,120,0.2673475640528029,229,137,12,1.943892702607864,43.735735810246894,5.107186092511922,488.8871647074477,1,0,0,479.5220171689362,🟢 Healthy
2022-01-11,1087,4,112,0.4715786942290493,351,194,4,3.679523664453491,94.12970788575376,10.611693673869816,1385.6425141089292,1,1,0,1388.77778038451,🟡 High Cost Overstock
2022-01-12,1099,1,123,0.4643007250952589,202,147,9,4.416087462111508,54.32986542255105,17.100114395670847,946.3795327690756,1,2,0,956.5309905504463,🟢 Healthy
2022-01-13,1023,4,113,0.3862705920490308,283,134,7,4.03147941414073,95.10957391274516,19.233615393227744,1236.0182481145716,1,3,0,1228.3714331742076,🟡 High Cost Overstock
2022-01-14,1002,5,120,0.4538729509686751,72,146,2,2.8878676549954347,99.31204332417084,21.53221932703933,1340.7850421817302,1,4,0,1372.4066210470123,🔴 Reorder Required
2022-01-15,1021,4,128,0.2278592110350499,467,128,13,0.9609895230469404,62.13278608891328,23.533271187889397,510.9148933518345,1,5,1,494.2804620800539,🟢 Healthy
2022-01-16,1052,2,123,0.2524437304033131,143,197,4,3.693952777736991,43.04352078278804,13.24224693929536,571.2787679991777,1,6,1,556.683936461507,🔴 Reorder Required
2022-01-17,1001,4,108,0.3454848727416912,419,130,5,2.132729261270931,83.26214468580632,19.81033599114909,976.8757051583264,1,0,0,986.2217036659226,🟡 High Cost Overstock
2022-01-18,1087,3,102,0.3494503789189057,294,138,2,0.8854267726193459,32.74485884200119,6.493458603961251,293.0603299920889,1,1,0,302.2474048447602,🟢 Healthy
2022-01-19,1029,4,122,0.2926799352049364,339,190,10,4.291098832456815,40.16374877376564,6.150599975441602,1494.846252976626,1,2,0,1474.5575489615087,🟡 High Cost Overstock
2022-01-20,1037,2,121,0.2602631393751813,209,85,8,2.021974327321275,82.79039275994258,7.495959839723132,505.38302717008906,1,3,0,493.64580434313876,🟢 Healthy
2022-01-21,1001,2,109,0.4944721246434781,422,169,1,1.482119746302071,54.69167397856239,13.971381956615248,680.1462069180363,1,4,0,669.6404778928078,🟡 High Cost Overstock
2022-01-22,1063,1,134,0.4284494504470898,334,187,3,4.421534290784795,36.12303495901334,9.225628769974998,1512.9154880811348,1,5,1,1494.7854060794825,🟡 High Cost Overstock
